Wavelength (nm),AM1GH spectral irradiance (W/m2/nm)
300,0.007615
305,0.07592
310,0.1298
315,0.3218
320,0.4224
325,0.4574
330,0.7874
335,0.6742
340,0.8148
345,0.7472
350,0.8171
355,0.8804
360,0.917
365,0.8045
370,1.095
375,0.6972
380,0.888
385,0.9237
390,1.079
395,1.145
400,1.457
405,1.47
410,1.379
415,1.582
420,1.552
425,1.588
430,1.221
435,1.522
440,1.64
445,1.773
450,1.91
455,1.882
460,1.888
465,1.87
470,1.825
475,1.918
480,1.91
485,1.795
490,1.901
495,1.854
500,1.777
505,1.816
510,1.762
515,1.699
520,1.721
525,1.795
530,1.78
535,1.781
540,1.669
545,1.744
550,1.755
555,1.762
560,1.667
565,1.669
570,1.634
575,1.652
580,1.655
585,1.661
590,1.527
595,1.569
600,1.594
605,1.606
610,1.585
615,1.576
620,1.569
625,1.493
630,1.484
635,1.532
640,1.509
645,1.516
650,1.447
655,1.421
660,1.441
665,1.438
670,1.46
675,1.447
680,1.432
685,1.423
690,1.256
695,1.327
700,1.331
705,1.362
710,1.357
715,1.304
720,1.085
725,1.111
730,1.189
735,1.246
740,1.257
745,1.264
750,1.254
755,1.249
760,0.4349
765,0.8203
770,1.179
775,1.173
780,1.159
785,1.144
790,1.114
795,1.117
800,1.096
805,1.078
810,1.07
815,0.9457
820,0.901
825,0.9955
830,0.9535
835,1.016
840,1.022
845,1.021
850,0.9225
855,0.8846
860,0.9821
865,0.9559
870,0.9827
875,0.9332
880,0.9278
885,0.9402
890,0.925
895,0.8279
900,0.7553
905,0.8312
910,0.6667
915,0.7177
920,0.7514
925,0.7186
930,0.4876
935,0.3073
940,0.5305
945,0.4322
950,0.2082
955,0.4082
960,0.4712
965,0.537
970,0.6561
975,0.6189
980,0.6239
985,0.6928
990,0.7211
995,0.7336
1000,0.7223
1005,0.6733
1010,0.7074
1015,0.6997
1020,0.6921
1025,0.6924
1030,0.683
1035,0.6703
1040,0.663
1045,0.653
1050,0.6503
1055,0.6452
1060,0.6265
1065,0.6273
1070,0.6109
1075,0.5927
1080,0.6003
1085,0.6008
1090,0.5695
1095,0.5354
1100,0.5045
1105,0.5216
1110,0.5005
1115,0.2828
1120,0.1904
1125,0.1881
1130,0.1165
1135,0.02729
1140,0.2941
1145,0.1974
1150,0.1635
1155,0.3426
1160,0.3227
1165,0.4063
1170,0.4628
1175,0.4473
1180,0.4451
1185,0.419
1190,0.4627
1195,0.4463
1200,0.4476
1205,0.4318
1210,0.4393
1215,0.4297
1220,0.4516
1225,0.4533
1230,0.4489
1235,0.4522
1240,0.4489
1245,0.4475
1250,0.4426
1255,0.4369
1260,0.4248
1265,0.4007
1270,0.3948
1275,0.4086
1280,0.4068
1285,0.4112
1290,0.4065
1295,0.404
1300,0.3632
1305,0.387
1310,0.3181
1315,0.3049
1320,0.2788
1325,0.337
1330,0.2647
1335,0.2606
1340,0.1947
1345,0.1394
1350,0.03196
1355,0.00004731
1360,0.00004362
1365,2.245E-09
1370,0.00001607
1375,0.002144
1380,0.0007929
1385,0.00002626
1390,0.003308
1395,0.00001783
1400,2.052E-07
1405,0.00001103
1410,0.00249
1415,0.001071
1420,0.01738
1425,0.04608
1430,0.09026
1435,0.04243
1440,0.06434
1445,0.07625
1450,0.0465
1455,0.09258
1460,0.1145
1465,0.1158
1470,0.07019
1475,0.2107
1480,0.08466
1485,0.1523
1490,0.1931
1495,0.2018
1500,0.2595
1505,0.2032
1510,0.2753
1515,0.2702
1520,0.2673
1525,0.2668
1530,0.2635
1535,0.269
1540,0.2654
1545,0.2738
1550,0.2664
1555,0.2632
1560,0.265
1565,0.2628
1570,0.2476
1575,0.2431
1580,0.2456
1585,0.2517
1590,0.2365
1595,0.2495
1600,0.2365
1605,0.237
1610,0.2216
1615,0.2315
1620,0.2293
1625,0.2363
1630,0.2346
1635,0.2299
1640,0.2126
1645,0.2172
1650,0.22
1655,0.2215
1660,0.2227
1665,0.2114
1670,0.2173
1675,0.2069
1680,0.1972
1685,0.2081
1690,0.2052
1695,0.2069
1700,0.199
1705,0.197
1710,0.1888
1715,0.1889
1720,0.1862
1725,0.1782
1730,0.1755
1735,0.1644
1740,0.1672
1745,0.1592
1750,0.1682
1755,0.1577
1760,0.1631
1765,0.1393
1770,0.1488
1775,0.1262
1780,0.1122
1785,0.0913
1790,0.1036
1795,0.06011
1800,0.04111
1805,0.02164
1810,0.01789
1815,0.007386
1820,0.002805
1825,0.00418
1830,0.00006102
1835,0.00005786
1840,0.000001145
1845,0.0001215
1850,0.00006564
1855,0.000009018
1860,0.0001083
1865,0.0001783
1870,8.102E-09
1875,1.635E-08
1880,0.0006094
1885,0.0004048
1890,0.001238
1895,0.0009153
1900,0.0000162
1905,0.000008809
1910,0.0002628
1915,0.0001564
1920,0.001857
1925,0.003296
1930,0.001944
1935,0.008391
1940,0.007229
1945,0.0186
1950,0.02589
1955,0.01798
1960,0.03243
1965,0.04237
1970,0.06203
1975,0.07833
1980,0.08299
1985,0.08885
1990,0.09127
1995,0.08846
2000,0.05361
2005,0.02834
2010,0.05595
2015,0.04207
2020,0.0599
2025,0.08357
2030,0.0911
2035,0.09896
2040,0.09501
2045,0.09605
2050,0.0788
2055,0.06812
2060,0.07907
2065,0.07354
2070,0.07654
2075,0.08536
2080,0.09158
2085,0.09022
2090,0.09273
2095,0.09269
2100,0.08987
2105,0.09489
2110,0.09207
2115,0.09322
2120,0.0895
2125,0.09014
2130,0.09059
2135,0.0907
2140,0.09102
2145,0.09008
2150,0.08631
2155,0.08621
2160,0.08497
2165,0.07826
2170,0.08235
2175,0.08167
2180,0.08269
2185,0.07674
2190,0.08048
2195,0.08
2200,0.07402
2205,0.07554
2210,0.07927
2215,0.07707
2220,0.07798
2225,0.07613
2230,0.07631
2235,0.07494
2240,0.07408
2245,0.07228
2250,0.07294
2255,0.06983
2260,0.06907
2265,0.06984
2270,0.06736
2275,0.06656
2280,0.06784
2285,0.06521
2290,0.06507
2295,0.06345
2300,0.06157
2305,0.06178
2310,0.06491
2315,0.06053
2320,0.05539
2325,0.05851
2330,0.05901
2335,0.05965
2340,0.05032
2345,0.05473
2350,0.04576
2355,0.05113
2360,0.0532
2365,0.05202
2370,0.03679
2375,0.04795
2380,0.04584
2385,0.03599
2390,0.04063
2395,0.04387
2400,0.04684
2405,0.0376
2410,0.03799
2415,0.03118
2420,0.02966
2425,0.03666
2430,0.04754
2435,0.01825
2440,0.04598
2445,0.02466
2450,0.01738
2455,0.02937
2460,0.03731
2465,0.02816
2470,0.021
2475,0.02089
2480,0.01255
2485,0.009435
2490,0.005876
2495,0.005561
2500,0.01237
